ID,Entity-Name,Size,# Tiles,Zone,Score,Score/Tile,Weight,# Variations,Filename,Residential Boost,Commercial Boost,Industrial Boost,Hood Boost
1,Romantic Cabin,1x1,1,residential,0.40,0.40,100,1,house-xsmall-1.png,,,,
2,Sauna Cabin,1x1,1,residential,0.40,0.40,100,1,house-xsmall-2.png,,,,
3,Retreat Cabin,1x1,1,residential,0.40,0.40,100,1,house-xsmall-3.png,,,,
4,Simple Cabin,1x1,1,residential,0.40,0.40,100,1,house-xsmall-4.png,,,,
5,Comfy Home,1x1,1,residential,0.80,0.80,90,1,house-small-1.png,,,,
6,Late Night Home,1x1,1,residential,0.80,0.80,90,1,house-small-2.png,,,,
7,Modernist Home,1x1,1,residential,0.80,0.80,90,1,house-small-3.png,,,,
8,Surreal Home,1x1,1,residential,0.80,0.80,90,1,house-small-4.png,,,,
9,Large Bungalow,1x1,1,residential,1.20,1.20,80,1,house-mid-1.png,,,,
10,Cottage Bungalow,1x1,1,residential,1.20,1.20,80,1,house-mid-2.png,,,,
11,Modern Bungalow,1x1,1,residential,1.20,1.20,80,1,house-mid-3.png,,,,
12,Lookout Bungalow,1x1,1,residential,1.20,1.20,80,1,house-mid-4.png,,,,
13,Glasshouse Home,2x1,2,residential,1.60,0.80,70,1,house-large-1.png,,,,
14,Pond Villa,2x1,2,residential,1.80,0.90,68,1,house-large-2.png,,,,
15,Viewpoint Villa,2x1,2,residential,2.00,1.00,66,1,house-large-3.png,,,,
16,Double-Winged Villa,2x1,2,residential,2.20,1.10,64,1,house-large-4.png,,,,
17,Garden Villa,2x1,2,residential,2.40,1.20,62,1,house-xlarge-1.png,,,,
18,Mountain Cabin Villa,2x1,2,residential,2.60,1.30,60,1,house-xlarge-2.png,,,,
19,Modern Villa,2x1,2,residential,2.80,1.40,58,1,house-xlarge-3.png,,,,
20,Futuristic Villa,2x1,2,residential,3.00,1.50,56,1,house-xlarge-4.png,,,,
21,Barn Villa,2x1,2,residential,3.20,1.60,54,1,house-ularge-1.png,,,,
22,Palm Villa,2x1,2,residential,3.40,1.70,52,1,house-ularge-2.png,,,,
23,Mega Cottage,2x1,2,residential,3.60,1.80,50,1,house-ularge-3.png,,,,
24,V-Pillar Villa,2x1,2,residential,3.80,1.90,48,1,house-ularge-4.png,,,,
25,Cylinder Mansion,2x2,4,residential,4.80,1.20,100,1,mansion-1.png,,,,Mansion
26,Organic Mansion,2x2,4,residential,6.40,1.60,85,1,large-mansion-1.png,,,,Mansion
27,Winter Mega-Mansion,2x2,4,residential,8.00,2.00,65,1,mega-mansion-1.png,,,,Mansion
28,Radiant Towers Small,1x1,1,residential,2.00,2.00,40,1,building-floors-8-1.png,,,,
29,Woodridge Center Small,1x1,1,residential,2.00,2.00,40,1,building-floors-8-2.png,,,,
30,Hoodville Towers Small,1x1,1,residential,2.00,2.00,40,1,building-floors-8-3.png,,,,
31,Radiant Towers Medium,1x1,1,residential,3.00,3.00,30,1,building-floors-12-1.png,,,,
32,Woodridge Center Medium,1x1,1,residential,3.00,3.00,30,1,building-floors-12-2.png,,,,
33,Hoodville Towers Medium,1x1,1,residential,3.00,3.00,30,1,building-floors-12-3.png,,,,
34,Radiant Towers Tall,1x1,1,residential,4.00,4.00,20,1,building-floors-16-1.png,,,,
35,Woodridge Center Tall,1x1,1,residential,4.00,4.00,20,1,building-floors-16-2.png,,,,
36,Hoodville Towers Tall,1x1,1,residential,4.00,4.00,20,1,building-floors-16-3.png,,,,
37,Coffee and News Kiosk,1x1,1,commercial,0.40,0.40,100,1,shop-xsmall-1.png,,,,
38,Flora Flower Shop,1x1,1,commercial,0.44,0.44,96,1,shop-xsmall-2.png,,,,
39,Bakery Shop,1x1,1,commercial,0.48,0.48,94,1,shop-xsmall-3.png,,,,
40,Pharmacy,1x1,1,commercial,0.80,0.80,90,1,shop-small-1.png,,,,
41,Petshop,1x1,1,commercial,0.84,0.84,86,1,shop-small-2.png,,,,
42,Blender Guitars,1x1,1,commercial,0.88,0.88,84,1,shop-small-3.png,,,,
43,Red Hot Chilli Burgerz,1x1,1,commercial,1.20,1.20,80,1,shop-mid-1.png,,,,
44,Bookstore,1x1,1,commercial,1.24,1.24,76,1,shop-mid-2.png,,,,
45,Gemet,1x1,1,commercial,1.28,1.28,74,1,shop-mid-3.png,,,,
46,Supermarket,2x1,2,commercial,1.60,0.80,70,1,shop-large-1.png,,,,
47,Armeti,2x1,2,commercial,1.64,0.82,80,1,shop-large-2.png,,,,
48,Sports Shop,2x1,2,commercial,1.68,0.84,78,1,shop-large-3.png,,,,
49,Automobile Showroom,2x1,2,commercial,2.00,1.00,76,1,shop-xlarge-1.png,,,,
50,Mety's,2x1,2,commercial,2.04,1.02,74,1,shop-xlarge-2.png,,,,
51,Futurniture,2x1,2,commercial,2.08,1.04,72,1,shop-xlarge-3.png,,,,
52,AquaMall,2x1,2,commercial,2.40,1.20,70,1,shop-ularge-1.png,,,,
53,CartFull Shopping Mall,2x1,2,commercial,2.44,1.22,68,1,shop-ularge-2.png,,,,
54,Steak'n'Buy Mall,2x1,2,commercial,2.48,1.24,66,1,shop-ularge-3.png,,,,
55,Metro Trade Center Small,1x1,1,commercial,2.00,2.00,40,1,cbuilding-floors-8-1.png,,,,
56,Metro Finance Tower Small,1x1,1,commercial,2.00,2.00,40,1,cbuilding-floors-8-2.png,,,,
57,Metsurance Building Small,1x1,1,commercial,2.00,2.00,40,1,cbuilding-floors-8-3.png,,,,
58,Metro Trade Center Medium,1x1,1,commercial,3.00,3.00,30,1,cbuilding-floors-12-1.png,,,,
59,Metro Finance Tower Medium,1x1,1,commercial,3.00,3.00,30,1,cbuilding-floors-12-2.png,,,,
60,Metsurance Building Medium,1x1,1,commercial,3.00,3.00,30,1,cbuilding-floors-12-3.png,,,,
61,Metro Trade Center Tall,1x1,1,commercial,4.00,4.00,20,1,cbuilding-floors-16-1.png,,,,
62,Metro Finance Tower Tall,1x1,1,commercial,4.00,4.00,20,1,cbuilding-floors-16-2.png,,,,
63,Metsurance Building Tall,1x1,1,commercial,4.00,4.00,20,1,cbuilding-floors-16-3.png,,,,
64,RDC Tower,1x1,1,commercial,4.00,4.00,1,1,cbuilding-floors-16-4.png,,,,
65,Teip's Carwash,1x1,1,commercial,1.20,1.20,40,1,carwash-1.png,,,,
66,Metcinema,1x2,2,commercial,2.40,1.20,100,1,cinema-1.png,,,,Cultural
67,METPOT CASINO,2x1,2,commercial,4.80,2.40,95,1,casino-1.png,,,,Entertainment
68,Metroverse Theatre,2x1,2,commercial,4.00,2.00,95,1,theatre-1.png,,,,Cultural
69,Hotel Bonaville,1x3,3,commercial,3.60,1.20,40,1,hotel-1.png,,,,
70,Metro Munch Restaurant,1x1,1,commercial,2.00,2.00,40,1,restaurant-1.png,,,,
71,Metro Bar,1x1,1,commercial,1.60,1.60,40,1,bar-1.png,,,,
72,Boomb0x Club,1x1,1,commercial,2.00,2.00,40,1,club-1.png,,,,
73,Circ-o-verse,2x2,4,commercial,4.00,1.00,90,1,circus-1.png,,,,Entertainment
74,Baseball Stadium,2x2,4,commercial,6.40,1.60,54,1,baseball-stadium-1.png,,,,Sports
75,Football Stadium,2x3,6,commercial,9.60,1.60,64,1,football-stadium-1.png,,,,Sports
76,Soccer Stadium,2x3,6,commercial,9.60,1.60,64,1,soccer-stadium-1.png,,,,Sports
77,Beer Brewery,1x1,1,industrial,0.40,0.40,100,1,factory-xsmall-1.png,,,,
