Rank,City Name,Total Points,Action Points,Met Share Points
1,Metro Estates,95748,12934,82814
2,Metro Towers,92366,34134,58232
3,Metro Manors,86497,37728,48769
4,Metro Life Alpha,81541,50138,31403
5,SecondOrder,69472,32406,37066
6,Degen City 2,27097,22802,4295
7,Goon Squad,16081,6344,9737
8,Metro Life Alpha 2,11723,3410,8313
9,Metshire,7865,6846,1019
10,Metro Life,6990,1406,5584
11,Degen City,6031,2798,3233
12,BoopCity,5899,2916,2983
13,New York City,4912,2168,2744
14,AnZ Mothership,4504,4376,128
15,Metro Mafia,4501,1216,3285
16,Mid City,4158,3988,170
17,Metmoria,2231,2156,75
18,Elite City II,293,292,1
19,C Mercury,246,226,20
20,C Jupiter,226,204,22
21,C Venus,178,154,24
22,C Saturn,125,98,27
23,Metroplasia,121,104,17
24,C Mars,86,68,18
