Rank,Wallet Address,City Rank Points,Prime Roll Points,Met Deposit Points,Fuel Tank Points,Hood Boost Points,Total Points
1,0x3e5d9c8d36f0a5eaba51659f613bcd0060ea25a6,60878,350,0,5585,6000,72813
2,0x709c27ee2c0688893ff061f9dcdb6e0f0c5e8533,58847,0,1320,3599,8000,71766
3,0x3899a5f877e84f515d88ecf2a0afc7e2d33e8b1d,57066,0,0,0,4000,61066
4,0x5a9d482df493b57d081b3fc885298abe19b403ec,42620,0,1887,3452,8000,55959
5,0x6aa8d2800b2d7ab7cbae44552291338a53934f17,38246,0,1903,0,8000,48149
6,0xe37868521a8da08b159e1aef98217134dea78183,40127,0,0,6500,1000,47627
7,0xeeba922a2445164143f16a171bc6a564d03a4f1a,27928,250,0,2117,15000,45295
8,0x1a0f228bf181bca9b7462cf063e757d2853f2ca2,35281,0,0,1882,6000,43163
9,0x0d088b4cdbef3d1d4a29d5958b5c334a0c4d55b0,17850,15150,0,3928,6000,42928
10,0x05fc37e11814199e9c16482492c1204f64a6463c,33891,650,523,0,6000,41064
11,0x513e628af5f1421906120ba8d1a90a996b85a184,21470,0,0,3250,10000,34720
12,0x239d7273d42d6e82ab0446941860f67dc5ac9d14,21099,4850,0,2000,4000,31949
13,0x48a5203b29c5bd1f6fe7deb45b6d92b8e5713193,11930,3450,6285,5595,4000,31260
14,0xc952865f0d3f5b152c3bd7772b23d655e272641c,17658,1100,0,2790,6000,27548
15,0xb3e666752177a5da3823ddadee3ce7be86846435,18066,0,0,1105,6000,25171
16,0x8f052c26f086a90059b53d269ea44b79c6be255b,12738,4950,0,1260,6000,24948
17,0x3e57743d458f109b0359303fe960469588fb08cd,13427,0,0,2950,8000,24377
18,0x553aacf16e6496f2778d810ae37352c6342bd854,19154,0,0,0,4000,23154
19,0x63a70c3474abe7ed5a8bf9d846929f713e82bbe4,13763,1550,1405,3700,2500,22918
20,0x912d63a77fe62b79c3348d60dcf1faf33137e719,16313,0,0,1750,4000,22063
21,0xc44622efe9f7b4c880e563548148810b9ce0cdb4,12112,0,0,3600,6000,21712
22,0xc7f5656ab456f46d5fd4c70280a015d2e0a1f80f,13195,1000,0,1208,6000,21403
23,0x4a4ab5d39cb74bfa6a56b09e55f5c5f49eda42c6,14873,350,0,1632,4000,20855
24,0xb4949f080b566d79d1c3535babb5876a819b9842,15376,0,0,2480,2500,20356
25,0xb61276ceadc462fe76e137fde30e7aa4a977f46c,11097,0,0,679,8000,19776
26,0x30fbc724b32989d9852074a6b8ce0c35fd5ff51e,12786,0,0,944,6000,19730
27,0x1d807b8fec9903e7b69edd01f9e592015366eec9,13887,0,0,1487,4000,19374
28,0xe3bac3c1173452618ce91e5653b0b715903338c3,10257,0,0,986,8000,19243
29,0x5efd728345b367bccd30648bbe31e01d15b0af62,11684,600,0,918,6000,19202
30,0xb6b17a7d626b4c1bb693b7d22336d57b3ebb7658,11188,0,0,2000,6000,19188
31,0x7bb54506f082b3322ec1a671eb37d57d29947cfb,10517,3200,0,1129,4000,18846
