Wallet Address,Boosted Score,Unboosted Score,Boost Percentage
0xeeba922a2445164143f16a171bc6a564d03a4f1a,34935,19056,83.33
0x6a86f28365b007c931b922a0a3969653d7866e06,5444,3179,71.25
0x967c6ac377f2ec1e181df8363d28ddcaaaad0d40,13069,7685,70.06
0x34465000b49a8e4592ec887de04835b79236cc8a,1101,654,68.35
0xb06fda87bde6fd294a1b51db1ef1474c2961e054,9520,5701,66.99
0x0de34c2eada893485c116df0d10332c6e5796351,9675,5963,62.25
0x3c7522b1a0bd086f678b5de8aa7393336130d664,11340,7002,61.95
0x506c4c4325b133b9dc277b00b58b01c606ac6ddd,34488,21381,61.3
0x0abc78c93bfa2c94a097f793de3c6ab10a6fb7e6,23211,14435,60.8
0x513e628af5f1421906120ba8d1a90a996b85a184,60719,37836,60.48
0xc6d020de60083bfcbbf4f66e3dbf5e20c08f0e3e,6541,4085,60.12
0x709c27ee2c0688893ff061f9dcdb6e0f0c5e8533,52249,32754,59.52
0xcf378dfd582b66aa8b6025078f0ab3fab39c67f8,13034,8178,59.38
0x5c2c6035434b76abc131d04433380dd5381db9eb,9466,5970,58.56
0x36445ebc1b1f5c45fa7f5be69adcae1f7c6c31dd,27868,17670,57.71
0x457e57e36048f1189d1f83b6f94371cbc504a476,21425,13586,57.7
0xb2749573b742322c82b34640cf691d80acd1d070,5683,3636,56.3
0x103f95e213b51c97437659e9b8fee3b47a8aa53a,15886,10174,56.14
0x20de6eeb43ab26d39801d447d0a19bded9603f7c,7671,4916,56.04
0x5bf79c2d15253401a146b38c694ad22ff7e301f5,6142,3949,55.53
0xab194b7a7af12b174fe40d828a40ee5e6dd42418,2451,1580,55.13
0x84705de9c79c49c262817cf905c11d8c7f4ab3ef,1777,1147,54.93
0x6aa8d2800b2d7ab7cbae44552291338a53934f17,50513,32663,54.65
0xcd3ea9baee068854472d2cd274464fdd9025f87b,35701,23103,54.53
0x3f9d51bf445ef9f14f4004359c08c9415dee8246,11641,7548,54.23
0x7d82ae7c8ad76f0ef821606138f389a21316c664,15640,10143,54.2
0x3658a6713615cc4ea77409eacd6f098213d0cdbf,12552,8142,54.16
0xce96f07e7254e914905f1b51d293da7936028651,11007,7144,54.07
0xd91523f9fc871c8f6e57598ff3d862e7281c910c,782,508,53.94
0xe3bac3c1173452618ce91e5653b0b715903338c3,12060,7872,53.2
0xc366762a16e398825b08a8a21332dfd510ff5f80,8501,5555,53.03
0x78b8d3f5edd31254e068401416001eb1be48aca4,35752,23412,52.71
0x5a9d482df493b57d081b3fc885298abe19b403ec,50110,32823,52.67
0x2ccb1eeeef98fdacff2212211a3706bc2c973a09,1534,1005,52.64
0xad0867a794dce05fd8f4c97bcba80841d3be435d,513,337,52.23
0x86bb380114eb2137a73d8e6850400179d3da0e15,31652,20811,52.09
0xbda6a35390a38e0c87ababf55beaa2695b8df724,10034,6607,51.87
0xb61276ceadc462fe76e137fde30e7aa4a977f46c,9853,6491,51.79
0x0416071269eb7ca4055d53123e296d89fdf950a2,17122,11283,51.75
0xef62dab1e70f596cd354289c5a9192038f938f6c,8034,5295,51.73
0xdc0c0997c06cced62a416c6bab654fe306efc9fc,13314,8783,51.59
0xd214ba23a785294393da4f06d4f0a82676d4ae94,7194,4756,51.26
0x366803790e0e92ba7b50fc7b93259c111a847f0e,14223,9444,50.6
0x2bcfb8ca144290ec9051d7af922c9d74e74197da,25427,16917,50.3
0x8384d93922c9d9f512ac9d7837f6ebeb5821cbd5,18705,12446,50.29
0x103c152d58b8946c0b2ca7f3286e0e56c2f7a29c,1409,939,50.05
0x3e57743d458f109b0359303fe960469588fb08cd,41836,27926,49.81
0x00ab6b4f02d4a04c753e2f3209717eb06900b72a,6099,4090,49.12
0x39f2c6493b00514abeb237724c7f06f071659cfd,4747,3186,49
0xe6c401884c19b689127c44660523a6f75e56585e,6258,4201,48.96
0x2b85fa7c882d47f6d4f982134eb6bc668c068b91,8411,5647,48.95
0xcec0226557b7fa4842a37375fd75fa33882c1783,14894,10021,48.63
0x8ca9d80147ca77766982c9be22c15aad44f0371c,682,459,48.58
0xba46e71a48c4ab2013f8f16d5d84cc0ea5372858,4603,3100,48.48
0x86b4d38e451c707e4914ffceab9479e3a8685f98,5736,3864,48.45
0xebe7dc01e9cb3af68f940e8fbc0f752697617f82,18616,12541,48.44
0xcba602278422c4138f13c4567a9ff021bcaadea3,702,474,48.1
0x14dec35854c5550afb8fd8394c3cf6593a974666,5273,3561,48.08
0x5d0adfcd1588e512b204f3420d707064633067c3,9449,6386,47.96
0xbe6e84b1c09a92e3d2ad257c84d7783255a030e6,6684,4518,47.94
0x4faabd6667e7be0bd64aff02a6717478ca10d8b5,18698,12649,47.82
0x085729eec537e05e173dd919939980aa652f8c2f,17875,12099,47.74
0xf229e08dd118cb4b27315ec12fc2031a4dc05097,899,609,47.62
0x0abe3a138d48f7e01f96db55e297e3c75048757e,822,557,47.58
0x05fc37e11814199e9c16482492c1204f64a6463c,47927,32493,47.5
0xacf4a8c1691c8c9b8f29e18746dc5e09c2d460aa,12186,8263,47.48
0x91a317f1f243da7624b2dc6e3c9cbc6216b976c5,16185,10979,47.42
0xc054a025f7d824127e9a9bac03bad49035fcb726,6907,4697,47.05
0xb3e666752177a5da3823ddadee3ce7be86846435,16041,10909,47.04
0xc7f5656ab456f46d5fd4c70280a015d2e0a1f80f,11320,7699,47.03
0x8f052c26f086a90059b53d269ea44b79c6be255b,14977,10191,46.96
0x38ddedb2377c29e1ee3fffcc0efb6bf19bc9dc30,9465,6449,46.77
0x071402f538721d473f56e77189b8c57ec8aba66e,8511,5800,46.74
0x9a93d7ddc0d8379c3c29eca87476a736b996d4b0,8147,5556,46.63
0xd81de87e17035dae8fdd2e4e1285647a9c31c7c0,6959,4747,46.6
0xe7cdf9238020bcf252f2454e074d260b857a0143,17565,11992,46.47
0x12f37431468eb75c2a825e2cf8fde773ad94c8ea,175389,119818,46.38
0xa2f4dc54ed75bd7854d7e64762d84a55f0520767,4903,3350,46.36
0xc44622efe9f7b4c880e563548148810b9ce0cdb4,56133,38394,46.2
0xdad19177128fc63b9de5aac7c9afb08ede8830dd,7364,5038,46.17
0x1f370f6c38a4888da33bb1d79e0fc01b3a51effb,18013,12335,46.03
0xab9c2f0e78bcd1d9ac98367edfeb1532709ee16c,6858,4699,45.95
0x649df9d67d218adc25e5896d222d12d6d3b19827,7433,5094,45.92
0x2273badf70bae89866f9a41ce5cd66a060dd17d4,6957,4768,45.91
0x5efd728345b367bccd30648bbe31e01d15b0af62,46099,31599,45.89
0x6eee18869e8562ad5a1ddbe076712c20b8dec21b,6582,4514,45.81
0x137a1770371d69f737250a466a16a6b88ec206f9,17691,12133,45.81
0xf9d9ae3ac784e15eb03df21c078961d9256b7acd,664,456,45.61
0xfda5f22a28753d6c4dc74da4e522caa04234c606,62951,43236,45.6
0x690a2ba134d8d49e07ac5786d6dc02ca735a9633,19064,13098,45.55
0xb01e81b78667501e017f570270842ce53b854e3f,2976,2045,45.53
0x30c71678de63eb89478920357560f29813e5bed7,8097,5565,45.5
0xcb0f7b4582b83a57581dbc04e3fab6461a96054c,3417,2349,45.47
0xe3aaf2ac14b86982af780d37b0fb68e2c4072693,10412,7159,45.44
0x19ba47e96f888b9457a14da2db3a8a705ed10297,456,314,45.22
0x30fbc724b32989d9852074a6b8ce0c35fd5ff51e,14412,9935,45.06
0xbe782ec98ce7135a056e31300a9831fa35d52865,5508,3799,44.99
0xdd21baa82528e251b24f8d10493b14eb7690b2d2,8197,5657,44.9
0x3e5d9c8d36f0a5eaba51659f613bcd0060ea25a6,75555,52175,44.81
0x3e901c4500d6aa4dbecaf3d889caa2904928b98d,12044,8321,44.74
0x679791d0661dd64432aa5d532bd9b0bd40253a71,518,358,44.69
0xbc0dd291c4fedaeef28b42688d4c42580fa91974,7237,5007,44.54
0x71a2ec50c77dad2d744172b642e170e6fc93a40f,8283,5745,44.18
0xb6b17a7d626b4c1bb693b7d22336d57b3ebb7658,31643,21955,44.13
0xb2fddb2027d163a9a5f81784d94c1b632830c605,549,381,44.09
0xf56219d01baa59fbf9756bda772e5a4fb833e4ce,4019,2791,44
0x0b3445e41094ca980b0313d5f0079b35162ab974,6706,4660,43.91
0x745f74a7925d7638dabdea7d06bdeadad12f9a2f,10558,7339,43.86
0x0dfee9cdd62c9ee8679fb41c6fca2c029cafac6d,667,464,43.75
0x39f7cc2c7a6f522308c8a75d038f4aa4d7abdd90,10761,7488,43.71
0x8e2f648437db509f5a62dc29d111b9fda4edd16d,783,545,43.67
0x3d8dc04e7dfc52028ffefb9417fafcd4e4ca0818,19538,13601,43.65
0x6f8ba4a65235b8261d29408900b27ad8643acfa2,4595,3200,43.59
0xd7f9d8f65dcd0ff78082bc5b9cd13b4e56197e92,863,601,43.59
0xc98b13345c6562b6790bb1abda331db437d1273f,23945,16682,43.54
0x0eef71e4b5822f34455b5d5552a579d43ff2cef4,7456,5196,43.49
0xb6e9f1391ef5314b7201f140e70404b62cf39436,4858,3386,43.47
0xa4bd67f6454bb7793b3bcea59e3094471242a307,3940,2748,43.38
0xd595f140c2575d3e944332ea0b89f3ca08251704,11038,7700,43.35
0x437dae9da9de16cfb3b43cc6b1531eee47152334,1624,1135,43.08
0xba0f9b5d9517d8564018430242413c6c504e94e6,4433,3100,43
0xa007a121ab09ac5835df8e41e7f149630146b977,9737,6810,42.98
0x4dfa9c5ba81be8b24e6c35f66b7d43b6811ccb6e,898,629,42.77
0x39a0d5a305b7b595d1a5c6872466b3b605d51127,4987,3495,42.69
0xa8aad55c115a9213d790e11ad90a60f3540fee72,12520,8775,42.68
0xaacd1dd36ef2c387144965612976566d337d66a6,5865,4111,42.67
0xf247b7f6bd43748f8665b9824911ce14799ea519,4585,3214,42.66
0x279929c6633216aded13c8f6c723ba2d6788e156,10789,7572,42.49
0xe9d5962e3ae4278e6a3e6356e941e326f11cadd2,8274,5808,42.46
0x0d088b4cdbef3d1d4a29d5958b5c334a0c4d55b0,97560,68531,42.36
0xf390e6882d35b6068f40cd9335989b2b81179242,13503,9495,42.21
0xcb98bb290505feb876a6e9d1072c10413722e3c1,7932,5579,42.18
0x15568fea297aa8f2ca1d8ac52798f90468159233,4664,3281,42.15
0x1a0f228bf181bca9b7462cf063e757d2853f2ca2,45190,31793,42.14
0x45dd1514b3933cf78782cd2233d5127b4ef19388,5570,3919,42.13
0x1be61d546fb4029c993648834db1f881463b4f05,7401,5209,42.08
0x263371fca6cc06139d7f67d6fd69757997319183,12612,8885,41.95
0xab586a1762b7a89cd1498c4dd41caa56a2f211d7,16502,11627,41.93
0xb1fa926e7b820ed08529f5f14853938523614236,10422,7366,41.49
0xaf6e50e52b9c89fdbb573cf2f048b40f881132d2,9062,6409,41.39
0x4934caa063e1ad1379db90fed945f88742fa1a40,3941,2788,41.36
0x7d8d05f8c45699bb979ada66338db16408ece508,791,560,41.25
0x7f7668aca380a40a84294801f75e5d61a9ab9157,6666,4721,41.2
0x71ab15312fdb43957fc3a943417a493c8b735e66,3368,2387,41.1
0xee2672aeb588fba1fdc83cf7ad9ff68a473b1cbf,3787,2686,40.99
0x11eb8c136cdc14ad1adcc24c463f18dd13a37447,28612,20295,40.98
0xe0bd9836393b6a708f6b8e94380f6cc2ebe7f9f2,547,388,40.98
0x4251aa321780e356e93577c4fa8c86a9838e15a7,11845,8410,40.84
0xbcae8baa92e717d608e6d266df61d785b6f5dcbe,9351,6644,40.74
0x67dde272d06b358cc13e8301186d4c982e8b3340,598,425,40.71
0x9e437b064cfc7801808c5e476abfafa5069ab55b,9815,6984,40.54
0x24d6702b4cda74d4300cb70877cacff8a5740177,8652,6159,40.48
0x8c3798db64747b8e7322a9fe58df6bbb6d050aab,4625,3293,40.45
0xd71d40c047a2f1ea5b523ddeac03a9024d82f618,4794,3415,40.38
0xcb57a32a7febb93d982ffb32415e41fc42901031,6308,4498,40.24
0xd4f9e698cc5547c0753ff3cadecfa3aa990f6511,29632,21136,40.2
0xd06fb7c7ac9c18a21e6cea7f442a297f9481c663,13045,9305,40.19
0xe6d84cd11da92fb4cc37697386fa5d2d5bdbd4b1,7178,5121,40.17
0xa9b1939dd4d20c057baf701885b1bf3c0c6d23ba,8555,6107,40.09
0xc952865f0d3f5b152c3bd7772b23d655e272641c,21709,15498,40.08
0xc2a29ea10e3560aeccfa107dd80a51c880ac1886,10450,7462,40.04
0xbb430f642ab027a895bb289744d9732ffacbca7a,21916,15650,40.04
0x12353665f02daa319f81c9d13f86fee92ae2da7e,6203,4436,39.83
0x673a05fff17c27f0b88786ea34e7d2f46d125d39,11323,8099,39.81
0x5a17acdd2fe9ed469755c06a978d961f72776c46,51488,36846,39.74
0x8cc75535962fbe084ffb2bfb57ac360320e082cc,12670,9068,39.72
0x5ce6aeb2b85e2f3ce2bf1fc15024f3dd121a81eb,19491,13955,39.67
0xd00888bb26604f83bf9e9205a9cf8e74316e0238,5371,3848,39.58
0xfd2446c4dee1a1cf8876286c54b9abbc4a572231,65737,47146,39.43
0xde43b9042f4d7d520625c9cc42e161c91d643de2,7263,5209,39.43
0xda90ae00b36f662ccd8ae1050257a727c67a5ae8,5892,4228,39.36
0x7bb54506f082b3322ec1a671eb37d57d29947cfb,28064,20150,39.28
0x959de51d293aa775cfad14976148bd6c9fff47ea,5407,3888,39.07
0x215836b739fea38b5b982cba6087f11c763f5d1c,6129,4407,39.07
0x184d6d596e2ba3ca1eb4bc7e552d670ce8feee76,7823,5628,39
0x25d8c68bb4690541c4cf79d986964afb60bec708,6134,4417,38.87
0x78d39777843129f3a73752916a7d2622319519bf,393,283,38.87
0x7d60c7f17c46d7ca25b7aab85fb791143fb4d5d2,25963,18699,38.85
0x677560d1eaa746ac5654680644829d35934585ad,21809,15717,38.76
0x0bda5ffa68972ae3586102def7f97083b6ab54a3,412,297,38.72
0x34bf5a76243cf4e875fafc50fe7fc901f223836d,430,310,38.71
0x1bec08e9f91301d4446c3a70895379bb8a39844d,9516,6865,38.62
0x4773eabc47aa6de55aa7b65d00441dda69d5b388,8153,5885,38.54
0xd0cdf93b821ecc3ae79e7a84131eb2d595daa493,525,379,38.52
0x972e633f5f6f62d1f2a13977f113941fcb3b606b,7978,5760,38.51
0xc7feaf38594e78ad08c795b82caf61e86f36e0c7,4439,3205,38.5
0x9137a5d195f0ab57e428c5a2be9bc8c4620445cb,57906,41819,38.47
0x5f7d4b499633585dec1cc153fead83429cfe6c60,23442,16939,38.39
0x067b7633fe9f6987ecaca2a4b50ea9a46bd4c885,8401,6077,38.24
0x31a3056398b09176cdb85206277a4a72e1c7f656,15701,11364,38.16
0x24c6b71646da84dbe7851d6a79e3653f873e9b4a,4385,3174,38.15
0xaf62aeb6e80573ad5e2aae447500f33705f1e991,1032,747,38.15
0xbf12f2ffa4b20b74d1a9921c821b8934c376213a,460,333,38.14
0x470bc36888d46b6b021e56c0be3162f9dbaabb1f,5651,4091,38.13
0x752f4ab1cb31201c0665f11434dee3835189c088,11099,8037,38.1
0xb199180a3dcb18d850158a1f1dd162f470d47824,5103,3698,37.99
0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,20423,14803,37.97
0x2b73188230e3c45fcf88ea621874776369bcc8d6,6146,4455,37.96
0xea9955efcacd10a2ae72287a959c53cc311dbd8a,7683,5569,37.96
0x22f5aa0681d59d71c9fb1b4cce5ce51774ed9654,338,245,37.96
0x88936fd5e5911da557ed10d7f9bed313776f085b,342,248,37.9
0x1d91db52e49b608e7cff0389f04fa466b15a24b5,616,447,37.81
0xd0ed6e7fc982ef10f443b781d2ac518ac6f8830a,10291,7469,37.78
0x239d7273d42d6e82ab0446941860f67dc5ac9d14,40905,29691,37.77
0x4a905d9987eec20b2d3543eef6798eb0ea3bf964,4248,3084,37.74
0xd9d9c43ae86e3cb518a705f39571940f816caea5,6748,4900,37.71
0xb306e1ac79bfb44f6af18856a15202f0ae94da85,391,284,37.68
0x7704cfa2f3df27a21c7a60fd2eb70fb9c81ff76d,6908,5018,37.66
0x832cfa281b8424616c953aee5043e88a33a0a91a,6533,4750,37.54
0x3526568fb16bc29034cbf9f8def9af7ed743fce6,2800,2037,37.46
0xf64d8ac3384838bb7280066ad5d5fab3c3ee3ec8,25387,18473,37.43
0x9ade0002fe2f0c2620e7804827dcdd48b2949f01,1415,1030,37.38
0xbc3d193bae8e351e39891ccff3258bab4976c486,294,214,37.38
0x6ea68f8c8959d2b61f499b044a4871c4d7df0b0f,8439,6147,37.29
0x3cf58b8c135f5457b0541637356fa183b5a4aa98,1267,923,37.27
0x59cb1cb5dbfcc4190005f38ae9665da4075c0660,7405,5402,37.08
0xe9690567bd3851c6fcf6b51839ff027f1743d8c3,536,391,37.08
0x5b0f44082743e72b440ceb6eb530ac83e95eba25,5681,4145,37.06
0xb9c23a06681dd13ef6e4a57a5a6e3e8fa458521a,2748,2005,37.06
0x4e7a008c396e01b923afe3a54a95c7ccc5e37b6a,16297,11891,37.05
0xb0012c49cf4c4669d424063b682791672b5d2e0b,433,316,37.03
0xc2582c1300ccbe4e52bfc31c4d49be107a6fb747,9814,7167,36.93
0x2a80b1ba1bcae931cd1996313f9540cefb112051,7354,5372,36.9
0x68634371b197ecc675d0c99462d53c83aff6d15b,8628,6309,36.76
0x9cba57def0b8d2f2b356582178e09043ae3e631b,1321,966,36.75
0x4a4ab5d39cb74bfa6a56b09e55f5c5f49eda42c6,16460,12041,36.7
0xbb93664780e5e4e22f5255c774bfc455ebfa789e,44829,32799,36.68
0xf030a89f0d4b348eee972aac42636a7f6aa0e2cf,6484,4744,36.68
0xb90d0a001c06674538e6f04d1766938f3c3c1aed,2054,1503,36.66
0xd4235db8009f376e70e2f53aa66f0a0ee6b8bf4e,1532,1121,36.66
0xdfeac721c03179a91df843f1ffb823f64b4bd332,794,581,36.66
0x7dfb3dea1935c677c041e2f6982b9eeec937502b,1719,1258,36.65
0x58c4876febe21bddf5016fc65a593ce65f397aa4,4855,3553,36.65
0x379946aa9365245ec8ba525776bf66b5fdf5ee0d,11280,8256,36.63
0x70ce3ef631ddd4bdecc55466895db803c3684bff,9530,6981,36.51
0x1ad698f170f0d83fecd5461e3143795a94aefed6,3669,2688,36.5
0xdeadb83527823002f3e6128735576529553a1266,4835,3543,36.47
0x06d357a7c4c0c6efb2d07d19ec5e65199279a694,4127,3024,36.47
0x6b1aac888aa5a26f69e110960c5fb1e09d4e0d2b,6667,4886,36.45
0x4e46f906dbaa7d0a482c4ac42fd37d2aa6aea4c1,7418,5442,36.31
0xa8637069de6f667158fa2ac41a6d12feac9c9d5c,5559,4081,36.22
0xa6e584c610c8eb7f8fa77294c23a07fef5f34f8d,1638,1203,36.16
0x498d742e6b94bb5215d5eea4b255b1649c26bec7,10007,7351,36.13
0x097cd951f746c9182c8ab68f51787054e76ddeb7,577,424,36.08
0x5f5df3da7e0e886fb99cd8cdd26e9c49b5cf168d,5396,3968,35.99
0xbf696ad8a4bb40da24f89b131121a58b487914de,7743,5694,35.99
0x758387a5dbd9d7ad61937b1abfb43e1ff2400332,4346,3198,35.9
0x1781facf9e7098f64eb5c5ba503fbe3238115be9,409,301,35.88
0x6fec7be40101bacd4028d25dfc82ebc8264b5f6a,14168,10428,35.86
0xcb77a8d5e409c3371adffba18a668f619b7fed78,811,597,35.85
0xcd62d9c117f7068150810dd97c6d11c5251a8d01,7327,5396,35.79
0x8a9992acec31760d4fd5e35b01271326a671d6b9,3203,2359,35.78
0x66733550e79fb5cb58ac976c84490a391d29bdf0,391,288,35.76
0xee74363938c9e3093d2de39b23e9744a74689b8b,10830,7979,35.73
0x99a0e1c93e7375b1d197bcca720292afa381b4e5,566,417,35.73
0xe3df2beda49ebbe6a5b24ee84a003be2f7e0fd3f,3997,2945,35.72
0xcf79e95e0e36c35cf206527815cc349a69f65e7e,11110,8187,35.7
0xab974ac16d4e909aa9ff2e4b5edeffb0e73cdf4c,10640,7841,35.7
0x4277ca38084f942741748bbfb84369397d99baca,2068,1524,35.7
0x798c090331cb7638e55303de093558ed7838df1f,593,437,35.7
0x3ebec8f145de2d2c9783a117cab749247c4df48c,7151,5271,35.67
0x3cebd5a6fcd5d25e3a0e39ef5c5ae6e965ec9fe3,5291,3901,35.63
0x4f5be5965b760891523246a668cf86fd3648d19c,5374,3965,35.54
0x8e75e8ecd2b383d357877e5fb21c20db5cddd6b8,16612,12260,35.5
0x5122a655b74796fae8f4a4376218e950e53f19cf,3995,2949,35.47
0x2c2e790f3534fae11cdd9188c20573836c25877b,23027,17006,35.41
0x2105751d4ff59e3ef29dbeb24c6069b9a5a3721d,9302,6870,35.4
0x7ffeddb3e3b6b87d6288a156650c12c231e5844c,22642,16725,35.38
0xbc8492a5815218920b0c28fd558d427d77c91ab2,5000,3695,35.32
0x4b2c0b9bd6c19e34d980ac82edd9f9b846e26c6f,8734,6455,35.31
0xbae24c3227779b641dc55cbe0dd2aafdde9e3133,4396,3249,35.3
